ID	Topic
# sent_id = 3915	SOCIETAL
# sent_id = 2179	POLITICS
# sent_id = M4S38	NONE
# sent_id = M4S68	NONE
# sent_id = 4607	NONE
# sent_id = 4618	NONE
# sent_id = 4526	RELIGION
# sent_id = M3S59	NONE
# sent_id = 2732	SPORT
# sent_id = 4577	NONE
# sent_id = 4592	NONE
# sent_id = 543	POLITICS
# sent_id = M4S3	NONE
# sent_id = 2967	POLITICS
# sent_id = 97	RELIGION
# sent_id = 2004	NONE
# sent_id = 4429	SOCIETAL
# sent_id = 726	SPORT
# sent_id = 5352	SPORT
# sent_id = 4527	SPORT
# sent_id = 2504	SPORT
# sent_id = 3835	NONE
# sent_id = M1S12	NONE
# sent_id = 4251	SPORT
# sent_id = 1670	SPORT
# sent_id = 1933	NONE
# sent_id = M3S9	NONE
# sent_id = 4512	NONE
# sent_id = 3511	NONE
# sent_id = 84	SPORT
# sent_id = 4653	SPORT
# sent_id = 9316	SOCIETAL
# sent_id = 3857	SPORT
# sent_id = M4S78	NONE
# sent_id = 4347	RELIGION
# sent_id = 3266	SPORT
# sent_id = 4646	SPORT
# sent_id = 98	RELIGION
# sent_id = 4003	SPORT
# sent_id = M3S43	SOCIETAL
# sent_id = 4414	POLITICS
# sent_id = 4654	SPORT
# sent_id = M4S51	NONE
# sent_id = 79	SPORT
# sent_id = 4549	SOCIETAL
# sent_id = 1285	SPORT
# sent_id = 4485	NONE
# sent_id = 870	NONE
# sent_id = 541	SPORT
# sent_id = 3198	NONE
# sent_id = 981	SPORT
# sent_id = 509	SOCIETAL
# sent_id = 2437	SPORT
# sent_id = 4477	SOCIETAL
# sent_id = M3S37	RELIGION
# sent_id = 1068	SPORT
# sent_id = M2S51	NONE
# sent_id = 4022	NONE
# sent_id = 1964	SPORT
# sent_id = 709	SPORT
# sent_id = 4333	SPORT
# sent_id = 9347	SPORT
# sent_id = 3346	NONE
# sent_id = 3832	SPORT
# sent_id = M2S15	NONE
# sent_id = M2S36	NONE
# sent_id = 67	SOCIETAL
# sent_id = 1400	NONE
# sent_id = 4564	SPORT
# sent_id = 290	NONE
# sent_id = 4119	NONE
# sent_id = 4111	SPORT
# sent_id = 1362	NONE
# sent_id = 4498	SOCIETAL
# sent_id = M4S8	SOCIETAL
# sent_id = 856	NONE
# sent_id = 5359	SPORT
# sent_id = 1035	NONE
# sent_id = 1737	POLITICS
# sent_id = 2646	SPORT
# sent_id = M2S14	NONE
# sent_id = 1333	SPORT
# sent_id = 4496	SOCIETAL
# sent_id = M4S10	NONE
# sent_id = 4533	NONE
# sent_id = 1856	NONE
# sent_id = 1031	NONE
# sent_id = 3433	SOCIETAL
# sent_id = 3036	NONE
# sent_id = 9342	SPORT
# sent_id = 4694	NONE
# sent_id = 1414	SPORT
# sent_id = 1199	SOCIETAL
# sent_id = 24-49	NONE
